year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,exporter_name,exporter_iso3,importer_name,importer_iso3
2012,702,156,848620,192859.986,14.672,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Singapore,SGP,China,CHN
2012,704,156,848620,617.467,0.74,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Viet Nam,VNM,China,CHN
2012,752,156,848620,4543.893,2.049,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Sweden,SWE,China,CHN
2012,757,156,848620,21243.346,65.032,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Switzerland,CHE,China,CHN
2012,764,156,848620,143.85,0.47,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Thailand,THA,China,CHN
2012,826,156,848620,48161.773,44.675,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,United Kingdom,GBR,China,CHN
2012,842,156,848620,546811.598,138.175,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,USA,USA,China,CHN
2013,36,156,848620,60.0,0.256,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Australia,AUS,China,CHN
2013,40,156,848620,44297.941,180.644,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Austria,AUT,China,CHN
2013,56,156,848620,188.809,1.08,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Belgium,BEL,China,CHN
2013,124,156,848620,321.669,4.046,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Canada,CAN,China,CHN
2013,203,156,848620,590.64,4.133,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Czechia,CZE,China,CHN
2013,208,156,848620,0.013,0.002,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Denmark,DNK,China,CHN
2013,246,156,848620,4038.995,17.808,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Finland,FIN,China,CHN
2013,251,156,848620,22002.578,297.041,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,France,FRA,China,CHN
2013,276,156,848620,138314.462,1004.364,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Germany,DEU,China,CHN
2013,344,156,848620,5094.054,29.66,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,"China, Hong Kong SAR",HKG,China,CHN
2013,348,156,848620,2730.061,16.009,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Hungary,HUN,China,CHN
2013,372,156,848620,41.624,0.523,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Ireland,IRL,China,CHN
2013,376,156,848620,2455.314,16.864,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Israel,ISR,China,CHN
2013,380,156,848620,19020.476,113.677,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Italy,ITA,China,CHN
2013,392,156,848620,774613.001,5131.291,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Japan,JPN,China,CHN
2013,410,156,848620,460512.813,2141.028,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Rep. of Korea,KOR,China,CHN
2013,458,156,848620,9832.136,35.353,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Malaysia,MYS,China,CHN
2013,484,156,848620,925.789,0.74,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Mexico,MEX,China,CHN
2013,490,156,848620,117116.168,1189.74,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,"Other Asia, nes",S19,China,CHN
2013,528,156,848620,412186.126,2009.214,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Netherlands,NLD,China,CHN
2013,616,156,848620,39.626,12.001,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Poland,POL,China,CHN
2013,699,156,848620,396.655,1.731,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,India,IND,China,CHN
2013,702,156,848620,225968.509,1322.378,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Singapore,SGP,China,CHN
2013,704,156,848620,385.0,2.258,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Viet Nam,VNM,China,CHN
2013,724,156,848620,146.797,1.601,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Spain,ESP,China,CHN
